"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'VOLUME THE THIRD': notebook containing two early novels, 'Evelyn' and 'Catharine, or the Bower', by Jane Austen; 6 May 1792-19 Aug. 1809, n.d. Mostly autograph. This is the third of the surviving three volumes of Jane Austen's juvenilia; 'Volume the First' is in the Bodleian Library, Oxford (MS Don.e.7) and 'Volume the Second' is in the British Library (Add. 59874). All contain copies, with some later additions and revisions, of original manuscripts which do not survive. On the inner front cover (f. ii), Jane Austen's father, the Rev. George Austen, has noted in pencil: 'Effusions of Fancy by a very Young Lady consisting of Tales in a Style entirely new'. The contents page (f. 1) is signed 'Jane Austen May 6th 1792'; the dedication of 'Catharine' (originally entitled 'Kitty') to Cassandra Austen (f. 16v) is dated 'Steventon August 1792'; and at the end of 'Evelyn', the last few pages of which (ff. 12-15) are in an unidentified hand, is the date 'August 19th 1809'. This hand appears again towards the end of 'Catharine' (ff. 63v-64); the last two pages of the story, which is unfinished, are in the hand of Jane Austen's nephew, James Edward Austen Leigh (ff. 64v-65). Four pages loosely inserted at the end of the volume (ff. 66-69), containing a contribution to 'Evelyn', are in the hand of Jane Austen's eldest niece, Jane Anna Elizabeth Lefroy, and are signed with her initials. See R. W. Chapman, Volume the Third by Jane Austen (Oxford, 1951); notes by him, dated 28 and 30 July 1950, are inserted at the end of the volume (ff. iii, iv). See also B. C. Southam, 'Interpolations to Jane Austen's Volume the Third', in Notes and Queries, vol. 207 (May 1962), pp. 185-187. Dedication to James Edward Austen Leigh, in the hand of Cassandra Austen, at f. 1. Purchased, with the aid of a grant from the National Heritage Memorial Fund, at Sotheby's, 27 Sept. 1988, lot 108. Paper; ff. v+69. Old pagination 1-127. 202 x 163mm. Binding of vellum with 'Volume the Third' on the front cover and 'aft. 18' (perhaps referring to the writer's age) at the top of the spine, both in Jane Austen's hand","","032-001990460","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000036.0x0000f2","","Austen, Jane, novelist","16 Dec 1775-18 Jul 1817","person","author","Austen, George, Reverend father of Jane Austen [author] ; Austen, Jane, novelist, 16 Dec 1775-18 Jul 1817 [author] ; Lefroy, Jane Anna Elizabeth, eldest niece of Jane Austen [author] ; National Heritage Memorial Fund [former owner]","","","","","","6 May 1792-19 Aug 1809","","1 item","","Western Manuscripts. Add MS 65381","Leigh, James Edward Austen, nephew of Jane Austen","","English","Jane Austen, novelist: Juvenilia, 'Volume The Third' by Jane Austen: 1792-1809, n.d.: Mostly autogr. includes:. f. ii Reverend George Austen, father of Jane Austen: Note by Rev. George Austen: n.d; ff. 64v-65 James Edward Austen Leigh, nephew of Jane Austen: Part of Jane Austen's 'Catherine', in the hand of James Edward Austen Leigh: n.d; ff. 66-69 Jane Anna Elizabeth Lefroy, eldest niece of Jane Austen: Contribution to Jane Austen's 'Evelyn' by Jane Anna Elizabeth Lefroy: n.d.: Autogr","National Heritage Memorial Fund: Purchased with aid of grants from the N.H.M.F, 1986-1990"
"'You Should Be in Pictures': Jane Austen's Portrait","An Interview with Joan Klingel Ray, author of Jane Austen for Dummies ; An Interview with Karen Joy Fowler, the author of The Jane Austen Book Club ; Answers to The Jane Austen Aptitude Test ; Answers to the Crossword Puzzle ; Austen the Novelist ; Bedside, bathtub and armchair companion to Jane Austen ; Cinderella and Evil Witches: Myth-Placed Affections ; Emma ; Emma's Dream: Austen and Shakespeare Meet on a Midsummer Night ; Excerpt from the Juvenilia: 'The Adventures of Mr. Harley' ; First Impressions: Letting Jane Austen into Your Life ; Homage to Jane: Movies that Echo Austen ; If Jane Austen Had Been a Man ; If She Could See Them Now: Austen's Relationship with Her Publishers ; Initial Impressions or, 'I'm Missing Your Letters': An Austen Crossword Puzzle ; Jane Austen Film Chronology ; Jane Austen at the Movies ; Jane Austen in the Twenty-First Century ; LARPing and JARPing ; Last Words: Acknowledgments ; Love and Friendship: 'Beware My Laura' ; Mansfield Park ; More than a Constitutional: Heroines Who Favor Walking ; Mr. Knightley, Detective ; Mrs. Bennet was Right: The Marriage Plot in Austen Novels ; Music in 1995 BBC/A & E Pride and Prejudice ; Northanger Abbey ; Northanger Abbey: The Graphic Novel. A discussion with Anne Timmons, graphic artist ; On Reading Jane Austen ; Persuasion ; Pride and Prejudice ; Pride and Prejudice II, by Kentuck ; Pride and Prejudice: The Rejected Screenplays ; Raiders of the Early Works: The Juvenilia ; Sanditon ; Say Cheese!: Picturesque Beauty and Jane Austen ; Sense and Sensibility ; Sleuthing Regency Dresses ; The Best Gifts for a Janeite ; The Clergy in Austen's Fiction ; The Ideal Jane Austen Tour ; The Importance of a Good Carriage ; The Jane Austen Aptitude Test ; The Lives of Jane Austen ; The Sentence ; The Watsons and Lady Susan ; The bedside, bathtub & armchair companion to Jane Austen ; Was Lady Russell Wrong? ; What Does Lady Bertram Do? ; What Happened at the Ha-ha? ; What Makes a Janeite? ; What's Up with White Soup? Understanding Food in Jane Austen ; Why I Married Her. By Mr. Bennet ; Willoughby v. Brandon ; Winchester Cathedral","019404300","Monograph","Language material ; Text","Online resource","GBB995332","","9781441184863","Adams, Carol J.","","person","","Buchanan, Douglas [person] ; Adams, Carol J. [person] ; Gesch, Kelly [person]","","","United States of America","New York","Continuum","2008","","1 online resource (x, 218 pages), illustrations","823.7","ELD.DS.422482","Women and literature ; Austen, Jane, 1775-1817--Handbooks, manuals, etc ; Film ; Rezeption ; Novelists, English--19th century--Biography ; Women and literature--England--History--19th century ; Literatur ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh","Biography ; Handbook or manual ; History","English","",""
"101 Amazing Facts about Jane Austen","","018614744","Monograph","Language material ; Text","Online resource","GBB7N9148","","9781783336890 ; 9781783336906","Goldstein, Jack","","person","","Goldstein, Jack [person] ; Reese, Isabella [person]","Classic Authors","","England","Luton","Andrews","2014","","1 online resource (26 pages)","823.7","ELD.DS.227965","Austen, Jane, 1775-1817 ; Reference--Trivia ; Novelists, English ; Novelists, English--Biography ; Women novelists, English ; Biography & Autobiography--Literary ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Women novelists, English--19th century--Biography ; BIOGRAPHY & AUTOBIOGRAPHY--Literary","Biography","English","",""
"101 things you didn't know about Jane Austen : the truth about the world's most intriguing Romantic literary heroine","One hundred and one things you didn't know about Jane Austen ; One hundred one things you didn't know about Jane Austen","013672796","Monograph","Language material ; Text","Volume","GBA712416","","9781598692846","Hannon, Patrice","","person","author","Hannon, Patrice, author [person]","","","United States of America","Avon, Massachusetts ; Newton Abbot","Adams Media ; David & Charles","2007","","xiii, 242 pages, 16 cm","823.7","YK.2007.a.16588","Austen, Jane, 1775-1817--Miscellanea","","English","",""
"30-day journey with Jane Austen","","019674273","Monograph","Language material ; Text","Online resource (ePub ebook)","GBC006449","","9781506457147","Duquette, Natasha","","person","author","Duquette, Natasha, author [person]","","","United States of America","Minneapolis","Fortress Press","2020","","1 online resource","242.2","","Devotional calendars ; Austen, Jane, 1775-1817","","English","",""
"8 in 1","Jane Austen - 8 books in 1 : Sense & sensibility, Pride & prejudice, Mansfield Park, Emma, Northanger Abbey, Persuasion, Lady Susan and the early work Love & friendship ; Works. Selections","013685247","Monograph","Language material ; Text","Volume","GBA929273","","9780954840198","Austen, Jane","1775-1817","person","","Austen, Jane, 1775-1817 [person]","","","England","London","Shoes & Ships & Sealing Wax","2006","","789 pages, illustrations, 25 cm","823.7","YK.2009.b.2254","","","English","",""
"A Abadia de Northanger ... Traduzido ... por Madalena Donas-Bôtto","Northanger Abbey. Portuguese","000144631","Monograph","Language material ; Text","Volume","","","","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person] ; Donas-Bôtto, Madalena [person]","","","Portugal","Lisboa","","1943","","305 pages, 8°","","12650.de.6","","","Portuguese","",""
"A Commentary & Questionnaire on Emma, Jane Austen","","001409570","Monograph","Language material ; Text","Volume","","","","Gestetner, Jeanie Muriel","","person","author","Gestetner, Jeanie Muriel, author [person]","Commentaries and Questionnaires in English Literature","number 31 [Commentaries and Questionnaires in English Literature]","England","London","Sir Isaac Pitman","1927","","32 pages (8°)","","11859.a.1/31","Austen, Jane, 1775-1817","","English","",""
"A Jane Austen Christmas : celebrating the season of romance, ribbons and mistletoe","","017533113","Monograph","Language material ; Text","Volume","GBB5C0911","","9781604335910","DeVito, Carlo","","person","author","DeVito, Carlo, author [person]","","","United States of America","Kennebunkport","Cider Mill","2015","","1 volume, 18 cm","823.7","","Great Britain--History--Regency, 1811-1820 ; Christmas ; Austen, Jane, 1775-1817--Family","","English","",""
"A Jane Austen companion : a critical survey and reference book","","008356773","Monograph","Language material ; Text","Volume","GB7301463","","9780333124895","Pinion, F. B.","","person","author","Pinion, F. B., author [person]","","","England","London","Macmillan","1973","","xiii, 342, 19 pages, illustrations, genealogical tables, maps, portraits, 23 cm","823.7","73/0340 ; X.989/19205","Fiction in English--Austen, Jane--Critical studies ; Women and literature--England--History--19th century ; Austen, Jane, 1775-1817--Criticism and interpretation","","English","bibliography: p. 306-324. - Includes index",""
"A Jane Austen compendium : the six major novels","","012628618","Monograph","Language material ; Text","Volume","GB9368485","","9780434599646","Powell, Violet","1912-2002","person","author","Powell, Violet, 1912-2002, author [person]","","","England","London","Heinemann","1993","","210 pages","823.7","Nov.1994/267","English fiction ; Women and literature--England--History--19th century ; Austen, Jane, 1775-1817--Criticism and interpretation","","English","",""
"A Jane Austen devotional","Novels","018903424","Monograph","Language material ; Text","Online resource","GBB8B1461","","9781400319718","Woolsey, Steffany","","person","","Austen, Jane, 1775-1817 [person] ; Woolsey, Steffany [person]","Devotional classics series","","United States of America","Nashville, Tennessee","Thomas Nelson","2012","","1 online resource (213 pages)","242.2","ELD.DS.296316","Devotional literature","","English","",""
"A Jane Austen dictionary","","000099986","Monograph","Language material ; Text","Volume","","","","Apperson, G. L. (George Latimer)","1857-1937","person","author","Apperson, G. L. (George Latimer), 1857-1937, author [person]","","","England","London","Cecil Palmer","1932","","ix, 151 pages, 8°","","2041.e ; X18/7640","Austen, Jane, 1775-1817","","English","",""
"A Jane Austen dictionary","","010266759","Monograph","Language material ; Text","Volume","","","","Apperson, G. L. (George Latimer)","1857-1937","person","author","Apperson, G. L. (George Latimer), 1857-1937, author [person]","","","United States of America","New York","Haskell House","1968","","x, 151 pages, 23 cm","823.7","X5/5371","Austen, Jane, 1775-1817--Dictionaries ; Women and literature--England--History--19th century--Dictionaries","","English","",""
"A Jane Austen dictionary","","017154216","Monograph","Language material ; Text","Volume","GBB545406","","9781108082358","Apperson, G. L. (George Latimer)","1857-1937","person","author","Apperson, G. L. (George Latimer), 1857-1937, author [person]","Cambridge library collection. Literary studies","","England","Cambridge","Cambridge University Press","2015","","1 volume, 22 cm","823.7","","Austen, Jane, 1775-1817--Dictionaries","Dictionary","English","",""
"A Jane Austen education : how six novels taught me about love, friendship, and the things that really matter","","015891122","Monograph","Language material ; Text","Volume","","","9781410440266","Deresiewicz, William","1964-","person","author","Deresiewicz, William, 1964-, author [person]","Thorndike Press large print nonfiction","","United States of America","Waterville, Maine","Thorndike Press","2011","","347 pages, 22 cm","823.7","YD.2011.a.7232","Austen, Jane, 1775-1817--Appreciation ; Large type books","","English","",""
"A Jane Austen encyclopedia","","009258329","Monograph","Language material ; Text","Volume","","","9780313300172","Poplawski, Paul","","person","author","Poplawski, Paul, author [person]","","","United States of America","Westport, Connecticut","Greenwood","1998","","xii, 411 pages, illustrations, 1 genealogical table, 1 map, portraits, 25 cm","","99/16077 ; YC.1998.b.4683","Austen, Jane, 1775-1817--Chronology ; Austen, Jane, 1775-1817--Bibliography ; Austen, Jane, 1775-1817--Encyclopedias ; Women novelists, English--19th century--Biography--Encyclopedias","","English","",""
"A Jane Austen household book, with Martha Lloyd's recipes","","008089416","Monograph","Language material ; Text","Volume","GB7801608","","9780715375587","Hickman, Peggy","","person","","Jane Austen Memorial Trust [organisation] ; Lloyd, Martha [person] ; Hickman, Peggy [person]","","","England","Newton Abbot","David & Charles","1977","","128 pages, illustrations, facsimiles, portraits, 23 cm","641.5","X.629/11596","Austen, Jane, 1775-1817 ; Cooking ; Food--Dishes associated with Austen, Jane--1775-1817","","English","'The bulk of this work consists of extracts from [a] ... book of household hints and recipes, compiled ... by ... Martha Lloyd [The] manuscript ... belongs to the Jane Austen Memorial Trust' - Author's Preface ; bibliography: p. 123-124. - Includes index",""
"A Jane Austen quintet : critical inquiries into the novels' world","","014598276","Monograph","Language material ; Text","Volume","GBA877211","","9780955838705","Morris, Ivor","","person","author","Morris, Ivor, author [person]","","","England","Winchester","Sarsen Press","2008","","ix, 148 pages, 21 cm","823.7","YC.2009.a.11540","Austen, Jane, 1775-1817--Criticism and interpretation ; Characters and characteristics in literature","","English","",""
"A Supposed Letter Form of Sense and Sensibility --","Character and Caricature in Jane Austen -- ; Civil Falsehood in Emma -- ; D.W. Harding: a biographical chronology ; Family Life in the Eighteenth and Early Nineteenth Centuries -- ; Fraternal and Conjugal Love (Fanny Price and Edmund) -- ; Introduction to Persuasion -- ; Introduction to the Austen-Leigh Memoir -- ; Jane Austen and Moral Judgment -- ; Mansfield Park -- ; Northanger Abbey -- ; Regulated Hatred: An Aspect of the Work of Jane Austen -- ; Regulated hatred and other essays on Jane Austen ; Social Habitat in Jane Austen: Distant and Nearer Contexts --","019400056","Monograph","Language material ; Text","Online resource","GBB992087","","9781847140715","Harding, Denys Clement Wyatt","1906-","person","","Harding, Denys Clement Wyatt, 1906- [person] ; Lawlor, Monica [person]","","","England","Athlone ; Atlantic Highlands, New Jersey ; London","","1998","","1 online resource (230 pages)","823.7","ELD.DS.420980","Women and literature ; Femmes et littérature--Angleterre--Histoire--19e siècle ; Austen, Jane, 1775-1817 ; Women and literature--England--History--19th century ; Austen, Jane, 1775-1817--Criticism and interpretation ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Austen, Jane, 1775-1817--Critique et interprétation ; Femmes et littérature--Grande-Bretagne--19e siècle","Criticsm and interpretation ; History","English","",""
"A bibliography of Jane Austen","","008822841","Monograph","Language material ; Text","Volume","GB9857911","","9781873040379 ; 9781884718328","Gilson, David","","person","author","Gilson, David, author [person]","","","England","Winchester","St Paul's Bibliographies","1997","New edition","lxi, 877 pages, illustrations, facsimiles, 23 cm","016.8237","2725.e.3786 ; 99/38516","Austen, Jane, 1775-1817--Bibliography","","English","Includes index ; Previous edition: Oxford : Clarendon, 1982",""
"A bibliography of Jane Austen","","012598908","Monograph","Language material ; Text","Volume","GB8218548","","9780198181736","Gilson, David","","person","author","Gilson, David, author [person]","The Soho bibliographies","21 [The Soho bibliographies]","England","Oxford","Clarendon","1982","","877 pages, 8 leaves of plates, illustrations, facsimiles, 23 cm","016.8237","2785.aa.1/21 ; 8321.574000","Austen, Jane, 1775-1817--Bibliography","","English","Includes index",""
"A brief guide to Jane Austen","","016107627","Monograph","Language material ; Text","Volume","GBB260211","","9781780330464","Jennings, Charles","1956-","person","author","Jennings, Charles, 1956-, author [person]","","","England","London","Robinson","2012","","x, 244 pages, 1 map, 20 cm","823.7","YC.2013.a.7198","Austen, Jane, 1775-1817--Criticism and interpretation","","English","",""
"A brief guide to Jane Austen","","016916087","Monograph","Language material ; Text","Online resource","GBB752793","","9781780330471","Jennings, Charles","1956-","person","","Jennings, Charles, 1956- [person]","","","England ; United Kingdom","London","Robinson","2012","","1 online resource (160 pages)","823.7","ELD.DS.7583","Austen, Jane, 1775-1817--Criticism and interpretation","","English","",""
"A certain persuasion : modern LGBTQ+ fiction inspired by Jane Austen's novels","","018187677","Monograph","Language material ; Text","Volume","GBB8F2859","","9781908312754","","","","","Austen, Jane, 1775-1817 [person]","","","United Kingdom","","Manifold Press","2016","","314 pages, 23 cm","823.010892066","YKL.2018.a.11499","Gay culture--Fiction ; English fiction--21st century ; Short stories, English","Fiction","English","",""
"A charming place : Bath in the life and times of Jane Austen","","008809927","Monograph","Language material ; Text","Volume","GB8958769","","9780948975141","Lane, Maggie","1947-","person","author","Lane, Maggie, 1947-, author [person]","","","England","Bath","Millstream","1988","","104 pages, illustrations, maps, 19 cm","823.7","YC.1989.a.11826","Novelists, English--Homes and haunts--England--Bath ; Novelists, English--19th century--Biography ; Bath (England)--In literature ; Austen, Jane, 1775-1817--Homes and haunts--England--Bath ; Fiction in English--Austen, Jane--1775-1817--Local associations--Avon--Bath","Biography","English","Includes index",""
"A chronology of Jane Austen and her family","","016321134","Monograph","Language material ; Text","Volume","GBB339114","","9781107039278 ; 9781107615120","Le Faye, Deirdre","","person","compiler","Le Faye, Deirdre, compiler [person]","","","England","Cambridge","Cambridge University Press","2013","Second revised edition","xv, 779 pages, black and white illustrations, map (black and white), 26 cm","823.7","YC.2013.b.2600","Austen, Jane, 1775-1817--Chronology ; Austen family--Chronology","Chronology","English","Previous edition: 2006",""
"A chronology of Jane Austen and her family","Chronology of Jane Austen","013315749","Monograph","Language material ; Text","Volume","GBA588423","","9780521810647","Le Faye, Deirdre","","person","author","Le Faye, Deirdre, author [person]","","","England","Cambridge","Cambridge University Press","2006","","xv, 776 pages, illustrations, map, 26 cm","823.7","Q823.7 ; YC.2006.b.2700","Austen, Jane, 1775-1817--Chronology ; Austen, Jane, 1775-1817--Family","Chronology","English","",""
"A collection of letters --","Lesley Castle -- ; Love & friendship -- ; Love and freindship [sic] and other early works ; The history of England -- ; The three sisters ; Works. Selections","010400681","Monograph","Language material ; Text","Volume","","","9780517543726","Austen, Jane","1775-1817","person","author","Austen, Jane, 1775-1817, author [person]","","","United States of America","New York","Harmony","1981","","x, 118 pages, illustrations, 21 cm","","81/22280","","","English","",""
"A companion to Jane Austen studies","","009404397","Monograph","Language material ; Text","Volume","GBA142463","","9780313306624","","","","","Lambdin, Robert T., editor [person] ; Lambdin, Laura C., editor [person]","","","England","London ; Westport, Connecticut","Greenwood","2000","","xiii, 315 pages, 24 cm","823.7","YC.2001.a.11533 ; m01/19827","Austen, Jane, 1775-1817--Bibliography ; Austen, Jane, 1775-1817--Criticism and interpretation--History","Bibliography","English","",""
"A companion to Jane Austen","","014754443","Monograph","Language material ; Text","Volume","GBA8A9669","","9781405149099","","","","","Tuite, Clara, 1964-, editor [person] ; Johnson, Claudia L., editor [person]","Blackwell companions to literature and culture","57 [Blackwell companions to literature and culture]","England","Oxford","Wiley-Blackwell","2009","","xx, 537 pages, illustrations, 26 cm","823.7","2107.568500 ; YK.2009.b.3948","Austen, Jane, 1775-1817--Criticism and interpretation--Handbooks, manuals, etc","Handbook or manual","English","",""
"A companion to Jane Austen","","015868931","Monograph","Language material ; Text","Volume","GBB196540","","9780470672389 ; 9781405149099","","","","","Johnson, Claudia L. [person] ; Tuite, Clara, 1964- [person]","","","England","Oxford","Wiley-Blackwell","2012","","xxii, 537 pages","823.7","","Austen, Jane, 1775-1817--Criticism and interpretation--Handbooks, manuals, etc","Handbook or manual","English","",""
"A companion to Jane Austen","Jane Austen","019194912","Monograph","Language material ; Text","Online resource","GBB903086","","9781444354904","","","","","Johnson, Claudia L. [person] ; Tuite, Clara, 1964- [person]","Blackwell companions to literature and culture","","England","Chichester","Wiley-Blackwell","2012","","1 online resource","823.7","ELD.DS.376949","Austen, Jane, 1775-1817 ; Austen, Jane, 1775-1817--Criticism and interpretation--Handbooks, manuals, etc","Criticsm and interpretation ; Handbook or manual","English","",""
"A concordance to the works of Jane Austen","","005663249","Monographic component part","Language material ; Text","Volume","","","9780824092450","De Rose, Peter L.","","person","","De Rose, Peter L. [person] ; McGuire, S. W. (Sterling W.) [person]","Garland reference library of the humanities","volume 357 [Garland reference library of the humanities]","United States of America","New York","Garland","1982","","3 volumes (ix, 1645 pages), 32 cm","823.7","4027.280000 ; 4072.280000","Austen, Jane, 1775-1817--Concordances","","English","'Text of this concordance is based on The novels of Jane Austen, edited by R.W. Chapman (5 volume, 3rd edition, 1932-34, and volume VI, Minor works, 1954) '--Pref",""
"A dance with Jane Austen : how a novelist and her characters went to the ball","","016090790","Monograph","Language material ; Text","Volume","GBB249824","","9780711232457","Fullerton, Susannah","1960-","person","author","Fullerton, Susannah, 1960-, author [person]","","","England","London","Frances Lincoln","2012","","vii, 160 pages, illustrations (some colour), 23 cm","823.7","YK.2013.a.20622","Dance in literature ; Balls (Parties)--History--19th century ; Austen, Jane, 1775-1817--Stories, plots, etc","","English","",""
"A fine brush on ivory : an appreciation of Jane Austen","","012981003","Monograph","Language material ; Text","Volume","GBA463100","","9780199276615","Jenkyns, Richard","","person","author","Jenkyns, Richard, author [person]","","","England","Oxford","Oxford University Press","2004","","ix, 215 pages, 21 cm","823.7","YC.2006.a.5569","Women and literature--England--History--19th century ; Austen, Jane, 1775-1817--Criticism and interpretation","","English","",""
"A fine brush on ivory : an appreciation of Jane Austen","","013595650","Monograph","Language material ; Text","Volume","GBA693926","","9780199210992","Jenkyns, Richard","","person","","Jenkyns, Richard [person]","","","England","Oxford","Oxford University Press","2007","","1 volume, 21 cm","823.7","","Austen, Jane, 1775-1817--Criticism and interpretation","","English","Originally published: 2004",""
"A frivolous distinction : fashion and needlework in the works of Jane Austen","","010548851","Monograph","Language material ; Text","Volume","GB8030233","","","Byrde, Penelope","","person","author","Byrde, Penelope, author [person] ; Bath (England), City Council [organisation]","","","England","Bath","Bath City Council","1980","","vi, 41 pages, 16 pages of plates, illustrations (chiefly colour), 1 portrait, 21 cm","823.7","82/10108 ; X.629/13722","Fiction in English--Austen, Jane--Special themes--Fashion ; Austen, Jane, 1775-1817--Knowledge--Manners and customs ; Fashion in literature","","English","",""
