Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
Around the world in 80 days : revisited,,14656240,Monograph,Language material ; Text,Volume,GBA882550,,9780297854289,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Weidenfeld & Nicolson,2008,Revised edition,"240 pages, illustrations (chiefly colour), colour portraits, 28 cm",910.41,YK.2010.b.415,"Palin, Michael--Travel ; Voyages around the world",,English,"Previous edition: London: BBC, 1989",
Around the world in 80 days,,10062274,Monograph,Language material ; Text,Volume,GB9032741,,9780563208266,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,,1989,,"256 pages, illustrations (some colour), portraits (some colour), 26 cm",910.41,YC.1990.b.3892,Journeys round the world ; Voyages around the world,,English,,
Around the world in 80 days,,10062703,Monograph,Language material ; Text,Volume,GB9237594,,9780563362135,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,,1991,,"256 pages, colour illustrations, map, portraits, 25 cm",910.41,YK.1992.b.6143,Travel,,English,Originally published: 1989,
Around the world in 80 days,,10063320,Monograph,Language material ; Text,Volume,GB99Y5947,,9780563384953,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,,1999,,"253 pages, 16 pages of plates, colour illustrations, map, portraits, 20 cm",910.41,YK.2000.a.5944,"Palin, Michael--Journeys ; Voyages around the world",,English,,
Around the world in 80 days,,11051948,Monograph,Language material ; Text,Volume,,,9780563362135,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,,1994,,256 pages,,q95/10023,,,English,,
Around the world in 80 days,,12265857,Monograph,Language material ; Text,Volume,GB99Z1344,,9780563367123,"Palin, Michael",,person,,"Palin, Michael [person]",,,England,London,,1999,,"256 pages, 24 pages of plates, 18 cm",910.41,,"Palin, Michael--Journeys ; Voyages around the world",,English,Originally published: 1989,
Around the world in 80 days,,12972343,Monograph,Language material ; Text,Volume,GBA460253,,9780563521990,"Palin, Michael",,person,,"Palin, Michael [person]",,,England,London,,2004,2nd edition,256 pages,910.41,,"Palin, Michael--Travel ; Voyages around the world",,English,Previous edition: 1989,
Around the world in 80 days,,15103514,Monograph,Language material ; Text,Volume,GBA933375,,9780753823248,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Phoenix,2009,Revised edition,"241 pages, 32 pages of plates, colour illustrations, map, colour portraits, 20 cm",910.41,YK.2010.a.24320,"Palin, Michael--Travel ; Voyages around the world",,English,"This edition originally published: London: Weidenfeld & Nicolson, 2008",
Barry Cryer comedy scrapbook,,15513523,Monograph,Language material ; Text,Volume,GBB120195,,9781907085048,"Cryer, Barry",1935-,person,author,"Porter, Philip, author [person] ; Cryer, Barry, 1935-, author [person] ; Palin, Michael, writer [person]",,,England,Tenbury Wells,International ; Porter Press,2009,,"176 pages, illustrations (some colour), 25 x 31 cm",797.7028092241,LC.37.a.559,"Cryer, Barry, 1935- ; Comedians--Great Britain--Anecdotes ; Comedians--Great Britain--Biography",Anecdote ; Biography,English,'Foreword by Michael Palin'--Cover,
Before you go : gap year advice - tips & hints for first-time travellers,,8839552,Monograph,Language material ; Text,Volume,GB97Y4056,,9781899163335,"Griffiths, Tom",1974-,person,author,"Palin, Michael, writer [person] ; Griffiths, Tom, 1974-, author [person]",,,England,London,Quiller,1997,,"x, 182 pages, illustrations, map, portraits, 20 cm",910.202,YK.1998.a.3464,Students--Travel ; Travel--Guidebooks,Guidebook,English,Includes index,
Before you go : the ultimate guide to planning your gapyear,,9503020,Monograph,Language material ; Text,Volume,GBA1V0903,,9781904012016,"Griffiths, Tom",1974-,person,author,"Palin, Michael, writer [person] ; Griffiths, Tom, 1974-, author [person]",,,England,London,Aspect Guides,2002,2nd edition,"xii, 198 pages, illustrations, 1 portrait, 20 cm",910.202,YK.2003.a.16826,Backpacking ; Students--Travel,,English,"Previous edition: London : Quiller, 1997",
Before you go : the ultimate guide to planning your gapyear,,10090731,Monograph,Language material ; Text,Volume,GBA3X0565,,9780747566380,"Griffiths, Tom",1974-,person,author,"Palin, Michael, writer [person] ; Griffiths, Tom, 1974-, author [person]",,,England,London,Bloomsbury,2003,3rd edition,"xiv, 210 pages, illustrations, portraits, 20 cm",910.202,YK.2003.a.16825,Backpacking ; Students--Travel,,English,"Previous edition: London : Aspect Guides, 2002",
Bert Fegg's nasty book for boys and girls,,9926034,Monograph,Language material ; Text,Volume,GB7427449,,9780413327406,"Jones, Terry",1942-2020,person,author,"Jones, Terry, 1942-2020, author [person] ; Palin, Michael, author [person]",,,England,London,Eyre ; Methuen,1974,,"62 pages, illustrations (some colour), 25 cm",827.914 ; 828.91409,X.990/4339,English wit and humor ; Humour in English--1945-,,English,Written by Terry Jones and Michael Palin,
Bert Fegg's nasty book for boys and girls,Dr. Fegg's encyclopeadia of all world knowledge (formerly The nasty book),11963715,Monograph,Language material ; Text,Volume,GB8512045,,9780413564306 ; 9780413569400,"Jones, Terry",1942-2020,person,author,"Jones, Terry, 1942-2020, author [person] ; Palin, Michael, author [person]",,,England,London,Methuen,1984,New edition,"96 pages, illustrations (some colour), portraits, 25 cm",828.91409,X.950/39728 ; X.950/39729,Humour in English--1945---Texts,,English,Previous edition published as: Bert Fegg's nasty book for boys and girls. 1974,
Brand new Monty Python bok,The brand new Monty Python : now in hardbok,15332912,Monograph,Language material ; Text,Volume,GBA972736,,9780413776914,,,,,"Brookes, Peter, 1943- [person] ; Gilliam, Terry [person] ; Palin, Michael [person] ; Idle, Eric [person]",,,England,London,Methuen,2009,,"1 volume, colour illustrations, 28 cm",828.91407,,English wit and humor,,English,"Originally published: as The brand new Monty Python book London: Eyre Methuen, 1973 ; Written by Michael Palin et al.; illustrated by Terry Gilliam and Peter Brookes; edited by Eric Idle",
Brand new Monty Python bok,The brand new Monty Python papperbok,9029061,Monograph,Language material ; Text,Volume,GB7519914,,9780413319708,,,,,"Gilliam, Terry, illustrator [person] ; Brookes, Peter, 1943-, illustrator [person] ; Idle, Eric, editor [person] ; Palin, Michael, author [person]",,,England,London,Eyre ; Methuen,1974,,"98 pages, illustrations (some colour), 1 colour map, portraits, 28 cm",827.914 ; 828.91409,YK.1993.b.4611,Humour in English--1945---Texts ; English wit and humor,,English ; French ; German,"English text, English, French and German safety instructions ; Originally published: as 'The brand new Monty Python book'. 1973",
Brazil,,16086175,Monograph,Language material ; Text,Volume,GBB246954,,9780297866268,"Palin, Michael",,person,author,"Pao, Basil, photographer [person] ; Palin, Michael, author [person]",,,England,London,Weidenfeld & Nicolson,2012,,"319 pages, illustrations, maps, 28 cm",918.1,YK.2013.b.4371,"Palin, Michael--Travel--Brazil ; Brazil--Description and travel",,English,TV tie-in,
Brazil,,16449336,Monograph,Cartographic image ; Language material ; Still image ; Text,Volume,GBB359944,,9781780220864,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Phoenix,2013,,"1 volume, colour illustrations, colour maps, 20 cm",918.1,,"Brazil--Civilization ; Brazil--Social life and customs ; Palin, Michael--Travel--Brazil ; Brazil--Description and travel",,English,"Originally published: London: Weidenfeld & Nicolson, 2012 ; TV tie-in",
Brazil,,16917240,Monograph,Language material ; Text,Online resource,GBB659413,,9780297866275,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Weidenfeld & Nicolson,2013,,"1 online resource, colour illustrations, black and white maps",918.1,ELD.DS.8736,"Brazil--Civilization ; Brazil--Social life and customs ; Palin, Michael--Travel--Brazil ; Brazil--Description and travel",,English,"Originally published: London: Weidenfeld & Nicolson, 2012",
Chris Orr : the making of things,Works,16257588,Monograph,Language material ; Still image ; Text,Volume,GBB306643,,9781907533372 ; 9781907533655,"Hewison, Robert",1943-,person,,"Hewison, Robert, 1943- [person] ; Palin, Michael, writer [person] ; Orr, Chris, 1943- [person]",,,England,London,Royal Academy of Arts,2013,,"237 pages, illustrations (black and white and colour), 27 x 28 cm",769.92,LC.31.a.14398,"Orr, Chris, 1943---Criticism and interpretation ; Printmakers--Great Britain",,English,Includes index ; Text by Robert Hewison,
Cyril and the House of Commons,,11399853,Monograph,Language material ; Text,Volume,GB8618793,,9781851450787,"Palin, Michael",,person,author,"Holden, Caroline, illustrator [person] ; Palin, Michael, author [person]",,,England,London,Pavilion,1986,,"28 pages, colour illustrations, 24 cm",823.914,YK.1987.b.862,Children's stories in English--1945---Texts,,English,,
Cyril and the House of Commons,,11639911,Monograph,Language material ; Text,Volume,GB8855155,,9780140506938,"Palin, Michael",,person,,"Holden, Caroline [person] ; Palin, Michael [person]",,,England,,Puffin,1988,,28 pages,823.91 ; 823.914,,Children's stories in English--1945---Texts,,English,,
Cyril and the dinner party,,11399846,Monograph,Language material ; Text,Volume,GB8618791,,9781851450695,"Palin, Michael",,person,author,"Holden, Caroline, illustrator [person] ; Palin, Michael, author [person]",,,England,London,Pavilion,1986,,"28 pages, colour illustrations, 24 cm",823.914,YK.1987.b.863,Children's stories in English--1945---Texts,,English,,
Cyril and the dinner party,,11639910,Monograph,Language material ; Text,Volume,GB8855156,,9780140506921,"Palin, Michael",,person,,"Holden, Caroline [person] ; Palin, Michael [person]",,,England,,Puffin,1988,,28 pages,823.91 ; 823.914,,Children's stories in English--1945---Texts,,English,,
Diaries 1969-1979 : the Python years,,13715787,Monograph,Language material ; Text,Volume,GBA728692,,9780753821770,"Palin, Michael",,person,,"Palin, Michael [person]",,,England,London,Phoenix,2007,,"xxiii, 721 pages, 24 pages of plates, illustrations, portraits, 20 cm",791.45092,,"Television personalities--Great Britain--Diaries ; Travel writers--Great Britain--Diaries ; Actors--Great Britain--Diaries ; Comedians--Great Britain--Diaries ; Palin, Michael--Diaries ; Television comedy writers--Great Britain--Diaries",Diary,English,"Includes index ; Originally published: Weidenfield & Nicholson, 2006",
Diaries 1969-1979 : the Python years,"Michael Palin, diaries 1969-1979 : the Python years",13499532,Monograph,Language material ; Text,Volume,GBA657177,,9780297844365,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Weidenfeld & Nicolson,2006,,"xxii, 650, 24 pages of plates, illustrations (some colour), portraits, 24 cm",791.45092,YC.2007.a.14065,"Television personalities--Great Britain--Diaries ; Travel writers--Great Britain--Diaries ; Actors--Great Britain--Diaries ; Comedians--Great Britain--Diaries ; Palin, Michael--Diaries ; Television comedy writers--Great Britain--Diaries",Diary,English,Includes index,
Diaries 1969-1979,Halfway to Hollywood ; The complete Michael Palin diaries ; Travelling to work ; Works. Selections,17532954,Monograph,Language material ; Text,Volume,GBB5C0752,,9781474601702,"Palin, Michael",,person,author,"Palin, Michael [person] ; Palin, Michael, author [person]",,,England,London,Weidenfeld & Nicolson,2015,,"3 volumes, 20 cm",791.45092,,"Television personalities--Great Britain--Diaries ; Travel writers--Great Britain--Diaries ; Palin, Michael--Diaries ; Television comedy writers--Great Britain--Diaries",Diary,English,Additional physical form: ebook version. 9781474601719 ; Boxed,
Diaries 1969-1979,Halfway to Hollywood ; The complete Michael Palin diaries ; Travelling to work ; Works. Selections,17678292,Monograph,Language material ; Text,Online resource (ebook),GBB5I6221,,9781474601719,"Palin, Michael",,person,author,"Palin, Michael [person] ; Palin, Michael, author [person]",,,England,London,Orion,2015,,1 online resource,791.45092,,"Television personalities--Great Britain--Diaries ; Travel writers--Great Britain--Diaries ; Palin, Michael--Diaries ; Television comedy writers--Great Britain--Diaries",Diary,English,Additional physical form: Print version. 9781474601702 ; Boxed,
Discovering King's Cross : a pop-up book,,16157153,Monograph,Language material ; Text,Volume,GBB285668,,9781908714022,"Merrick, Jay",,person,author,"Fletcher, Corina [person] ; Palin, Michael, author [person] ; Merrick, Jay, author [person] ; Dalzell, Lucy, illustrator [person] ; Cruickshank, Dan, author [person]",,,England,London,Cicada,2012,,"12 unnumbered pages, colour illustrations, 29 cm",725.310942142,LC.31.b.13034,"Pop-up books ; Railroad terminals--England--London--History--Pictorial works ; King's Cross Station (London, England)--History",Pictorial work,English,,
Dr. Fegg's encyclopeadia of all world knowledge (formerly The nasty book),Bert Fegg's nasty book for boys and girls,11963715,Monograph,Language material ; Text,Volume,GB8512045,,9780413564306 ; 9780413569400,"Jones, Terry",1942-2020,person,author,"Jones, Terry, 1942-2020, author [person] ; Palin, Michael, author [person]",,,England,London,Methuen,1984,New edition,"96 pages, illustrations (some colour), portraits, 25 cm",828.91409,X.950/39728 ; X.950/39729,Humour in English--1945---Texts,,English,Previous edition published as: Bert Fegg's nasty book for boys and girls. 1974,
Elk stopped play : and other tales from Wisden's 'Cricket round the world',Wisden cricketers' almanack,17987972,Monograph,Language material ; Text,Online resource,GBB6I8485,,9781408832387,,,,,"Palin, Michael, writer [person] ; Connelly, Charlie, editor [person]",,,England,London,Bloomsbury,2014,,"1 online resource (xx, 138 pages), illustrations",796.358,ELD.DS.81107,Cricket ; Cricket--Tournaments--Anecdotes ; Sports & Recreation--Cricket ; Cricket--Anecdotes,Anecdote,English,,
Emperor : the perfect penguin,,19040991,Monograph,Cartographic image ; Language material ; Still image ; Text,Volume,GBB8G4110,,9781851499021,"Flood, Sue",,person,author ; photographer,"Flood, Sue, author ; photographer [person] ; Palin, Michael, writer [person]",,,England,Woodbridge,ACC Art,2018,,"224 pages, colour illustrations, 1 map (colour), 31 cm",598.47,LC.31.b.21038,Photography of birds--Antarctica ; Emperor penguin--Pictorial works ; Antarctica--Pictorial works ; Wildlife photography--Antarctica,Pictorial work,English,Includes dust slip with special QR code ; illustrations on lining papers,
"English parish churches and chapels : architecture, art and people",,18332127,Monograph,Language material ; Text,Volume,GBB777101,,9781784422394,"Byrne, Matthew",,person,author,"Byrne, Matthew, author [person] ; Palin, Michael, writer [person]",,,England,Oxford,Bloomsbury,2017,,"192 pages, illustrations, 1 map, 30 cm",726.50942,LC.31.b.18462,Church buildings--England,,English,'National Churches Trust'--Front cover,
"English parish churches and chapels : architecture, art and people",,18412703,Monograph,Language material ; Text,Online resource,GBB898437,,9781784422400,"Byrne, Matthew",,person,author,"Byrne, Matthew, author [person] ; Palin, Michael, writer [person]",,,England ; United Kingdom,London,Bloomsbury,2017,,1 online resource (160 pages),726.50942,ELD.DS.152775,Architecture ; Architecture--History--General ; Church buildings--England ; Church history ; Religion--Christian Church--General ; British & Irish history ; Architecture--History--Medieval,,English,,
Erebus : the story of a ship,,18934086,Monograph,Cartographic image ; Language material ; Still image ; Text,Volume,GBB8C6026,,9781847948120 ; 9781847948137,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Hutchinson,2018,,"xiv, 334 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), black and white maps, 24 cm",623.8203,YKL.2019.a.7689,Erebus (Ship)--History,,English,Additional physical form: ebook version. 9781473544260 ; Radio tie-in ; illustrations on lining papers,
Erebus : the story of a ship,,18935338,Monograph,Language material ; Text,Online resource (ePub ebook),GBB8C7278,,9781473544260,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Cornerstone Digital,2018,,1 online resource,623.8203,ELD.DS.317564,TRAVEL / Special Interest / Adventure ; Erebus (Ship)--History ; HISTORY / Modern / 20th Century ; HISTORY / Polar Regions ; Modern history to 20th century: c 1700 to c 1900 ; Travel writing,,English,Additional physical form: Print version. 9781847948120,
Erebus : the story of a ship,,19202046,Monograph,Language material ; Text,Volume,GBB904653,,9781528854580,"Palin, Michael",,person,author,"Palin, Michael, author [person]",Clipper,LP4633 [Clipper],England,Rearsby,W F Howes,2019,Large print edition,"xv, 400 pages (large print), 24 cm",623.8203,LT.2019.x.1620,Erebus (Ship)--History ; Large type books,,English,"Standard print edition originally published: London: Hutchinson, 2018",
Erebus : the story of a ship,,19282308,Monograph,Language material ; Text,Volume,GBB942809,,9781784758578,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,Arrow,2019,,"xiv, 334 pages, 20 cm",623.82520941,,Erebus (Ship)--History,,English,,
Far horizons : unusual journeys and strange encounters from a travelling life,,15381177,Monograph,Language material ; Text,Volume,GBA995086,,9781408459348 ; 9781408459355,"Gardner, Frank",1961-,person,author,"Gardner, Frank, 1961-, author [person] ; Palin, Michael, writer [person]",,,England,Bath ; Windsor,Paragon,2009,Large print edition,"xi, 419 pages (large print), illustrations, 24 cm",910.4092,LT.2010.x.3531,"Foreign correspondents--Travel ; Gardner, Frank, 1961---Travel ; Investigative reporting ; Adventure and adventurers ; Large type books",,English,Originally published: London: Bantam,
Far horizons : unusual journeys and strange encounters from a travelling life,,15489440,Monograph,Language material ; Text,Volume,GBB027877,,9780553819311,"Gardner, Frank",1961-,person,author,"Gardner, Frank, 1961-, author [person] ; Palin, Michael, writer [person]",,,England,London,Bantam,2010,,"430 pages, illustrations (some colour), 20 cm",910.4092,YK.2011.a.15285,"Foreign correspondents--Travel ; Investigative reporting ; Gardner, Frank, 1961---Travel ; Adventure and adventurers",,English,Originally published: 2009,
Football days : classic football photographs,,6892762,Monograph,Language material ; Text,Volume,GBA3V0906,,9781840008432 ; 9781845331610,"Robinson, Peter",1944-,person,photographer,"Hoon, Will [person] ; Robinson, Peter, 1944-, photographer [person] ; Palin, Michael, writer [person]",,,England,London,Mitchell Beazley,2003,,"352 pages, chiefly colour illustrations, portraits (some colour), 29 cm",796.334,LC.31.b.1499,Soccer--History--20th century--Pictorial works,Pictorial work,English,Includes index,
Football days : classic football photographs,,13221432,Monograph,Language material ; Text,Volume,GBA551206,,9781845331610,"Robinson, Peter",1944-,person,photographer,"Hoon, Will [person] ; Robinson, Peter, 1944-, photographer [person] ; Palin, Michael, writer [person]",,,England,London,Mitchell Beazley,2005,,"352 pages, illustrations (some colour), 23 cm",796.3340222,,Soccer--History--20th century--Pictorial works,Pictorial work,English,Includes index ; Originally published: 2003,
Full circle : the photographs,,10063127,Monograph,Language material ; Text,Volume,GB97X3160,,9780563371687,"Pao, Basil",,person,photographer,"Palin, Michael, writer [person] ; Pao, Basil, photographer [person]",,,England,London,,1997,,"192 pages, colour illustrations, 32 cm",910.91823,LB.31.c.9214,"Pacific Area--Pictorial works ; Palin, Michael--Journeys--Pacific Area",,English,,
Full circle,,10063915,Monograph,Language material ; Text,Volume,GB99Z1340,,9780563551072,"Palin, Michael",,person,author,"Palin, Michael, author [person]",,,England,London,,1999,,"317 pages, 16 pages of plates, colour illustrations, map, portraits, 20 cm",910.91823,YK.2000.a.5531,"Pacific Area--Description and travel ; Palin, Michael--Journeys--Pacific Area",,English,,
Full circle,,11018129,Monograph,Language material ; Text,Volume,GB97X3161,,9780563371212,"Palin, Michael",,person,,"Pao, Basil [person] ; Palin, Michael [person]",,,England,London,,1997,,"320 pages, colour illustrations, colour maps, portraits, 25 cm",910.91823,,"Pacific Area--Description and travel ; Palin, Michael--Journeys--Pacific Area",,English,TV tie-in,
Full circle,,12265884,Monograph,Language material ; Text,Volume,GB98X7053,,9780563384809,"Palin, Michael",,person,,"Pao, Basil [person] ; Palin, Michael [person]",,,England,London,,1998,,"1 volume, colour illustrations, colour facsimiles, colour maps, colour portraits",910.91823,,"Pacific Area--Description and travel ; Palin, Michael--Journeys--Pacific Area",,English,Originally published: 1997 ; TV tie-in,
Full circle,,12972341,Monograph,Language material ; Text,Volume,GBA460251,,9780563521976,"Palin, Michael",,person,author,"Pao, Basil, photographer [person] ; Palin, Michael, author [person]",,,England,London,,2004,,"317 pages, 32 pages of plates, colour illustrations, 1 map, portraits, 20 cm",910.91823,YK.2005.a.7337,"Pacific Area--Description and travel ; Palin, Michael--Travel--Pacific Area",,English,TV tie-in,
Full circle,,14836838,Monograph,Language material ; Text,Volume,GBA8D4051,,9780753823255,"Palin, Michael",,person,,"Palin, Michael [person]",,,England,London,Phoenix,2009,,"317 pages, colour illustrations, map, colour portraits, 20 cm",910.91823,,"Pacific Area--Description and travel ; Palin, Michael--Travel--Pacific Area",,English,"Originally published: London: BBC, 1997",
